問：こんにちは！ 答：こんにちは。良いお天気ですね。
問：ジョバンニはどこへ行った？ 答：銀河鉄道に乗って旅に出ました。
問：メロスは何に対して激怒したの？ 答：邪智暴虐の王に対して激怒しました。
問：ごん狐が兵十に届けたものは何？ 答：栗や松茸を届けました。
問：羅生門で下人が出会ったのは誰？ 答：死体の髪を抜く老婆に出会いました。
問：注文の多い料理店に来たのは誰？ 答：二人の若い紳士です。
問：おじいさんは山へ何をしに行った？ 答：山へ柴刈りに行きました。
問：かぐや姫はどこへ帰っていった？ 答：月の都へ帰っていきました。
問：李徴は何に変身してしまった？ 答：恐ろしい虎に変身してしまいました。
問：犍陀多が地獄で掴んだものは？ 答：極楽から垂れてきた一本の蜘蛛の糸です。
問：レモンをどこに置いてきた？ 答：丸善の棚の上に置いてきました。
問：おはようございます。 答：おはよう。今日も頑張りましょう。
問：調子はどうですか？ 答：とても元気です。
問：誰がメロスを待っていた？ 答：親友のセリヌンティウスです。
問：カムパネルラはどうなったの？ 答：川に落ちてしまいました。
問：こんばんは 答：こんばんは。今夜は星が綺麗ですね。
問：さようなら 答：さようなら。またお会いしましょう。
